# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
220.2000 R_intersting55 2949 1 0.1000 B1 A0 299 Y B1->A0
248.3000 R_intersting62 1654 1 0.2000 B1 A0 299 Y B1->A0
252.2000 R_intersting63 1064 1 0.1000 B1 A0 299 Y B1->A0
260.1000 intersting65 1000 1 0.1000 A0 B1 299 N A0->B1
260.3000 R_intersting65 2325 1 0.2000 B1 A0 299 Y B1->A0
264.2000 R_intersting66 1654 1 0.1000 B1 A0 299 Y B1->A0
268.1000 intersting67 1000 1 0.1000 A0 B1 299 N A0->B1
268.2000 R_intersting67 4883 1 0.1000 B1 A0 299 Y B1->A0
272.1000 intersting68 1000 1 0.1000 A0 B1 299 N A0->B1
272.3000 R_intersting68 4548 1 0.2000 B1 A0 299 Y B1->A0
276.1000 intersting69 1000 1 0.1000 A0 B1 299 N A0->B1
276.3000 R_intersting69 2784 1 0.2000 B1 A0 299 Y B1->A0
280.2000 R_intersting70 1064 1 0.1000 B1 A0 299 Y B1->A0
284.1000 intersting71 1000 1 0.1000 A0 B1 299 N A0->B1
284.2000 R_intersting71 2949 1 0.1000 B1 A0 299 Y B1->A0
288.3000 R_intersting72 1654 1 0.2000 B1 A0 299 Y B1->A0
292.1000 intersting73 1000 1 0.1000 A0 B1 299 N A0->B1
292.3000 R_intersting73 4883 1 0.2000 B1 A0 299 Y B1->A0
296.1000 intersting74 1000 1 0.1000 A0 B1 299 N A0->B1
296.2000 R_intersting74 1981 1 0.1000 B1 A0 299 Y B1->A0
300.1000 intersting75 1000 1 0.1000 A0 B1 299 N A0->B1
300.2000 R_intersting75 4883 1 0.1000 B1 A0 299 Y B1->A0
304.1000 intersting76 1000 1 0.1000 A0 B1 299 N A0->B1
304.3000 R_intersting76 4883 1 0.2000 B1 A0 299 Y B1->A0
308.1000 intersting77 1000 1 0.1000 A0 B1 299 N A0->B1
308.3000 R_intersting77 4548 1 0.2000 B1 A0 299 Y B1->A0
312.1000 intersting78 1000 1 0.1000 A0 B1 299 N A0->B1
312.2000 R_intersting78 2325 1 0.1000 B1 A0 299 Y B1->A0
320.1000 intersting80 1000 1 0.1000 A0 B1 299 N A0->B1
320.3000 R_intersting80 1981 1 0.2000 B1 A0 299 Y B1->A0
328.1000 intersting82 1000 1 0.1000 A0 B1 299 N A0->B1
328.3000 R_intersting82 2949 1 0.2000 B1 A0 299 Y B1->A0
332.1000 intersting83 1000 1 0.1000 A0 B1 299 N A0->B1
